what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1480068501653
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1480068501653
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1480068501654
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1480068501661
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1480068501675
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1480068501682
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1480068501682
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1480068501693
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1480068501694
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1480068501694
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1480068501711
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1480068501724
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1480068501724
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1480068501725
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1480068501725
os,sysinfo,,,"win32",1480068501729
arch,sysinfo,,,"x86",1480068501729
ws,sysinfo,,,"win32",1480068501729
locale,sysinfo,,,"pt_BR",1480068501729
processors,sysinfo,,,"4",1480068501729
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1480068501729
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1480068501729
java.specification.name,sysinfo,,,"Java Platform API Specification",1480068501729
