what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1479777920694
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1479777921775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479777922937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479777960377
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1479777961519
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1479777965878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479777967111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778037698
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1479778040725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778056293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778058081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778060204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778074245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778075700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778082751
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1479778088531
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1479778088942
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1479778088988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1479778095128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1479778100050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778103091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778104521
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1479778114466
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1479778114642
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1479778114682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1479778118995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1479778119143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1479778119731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1479778143770
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1479778148424
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1479778148424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778150807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778158409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1479778161727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1479778164412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1479778168737
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1479778170673
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1479778170841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1479778172866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1479778175124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1479778177441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1479778179687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1479778182338
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1479778184035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778185380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778187394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1479778198901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778230933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778237497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1479778259948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1479778261068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1479778262230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1479778264977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1479778266563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1479778273048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1479778282812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1479778283975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778285703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1479778318270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1479778320163
